,count,century,centurylabel,dynasty,dynstart,dynend,X1,X2,X3,poly,weight
-1100,2469.07016728625,-1100,-1100–-1000,商,-1600,-1046,859.983271375465,1584.31644981413,24.7704460966543,1609.08689591078,3.28165852418672
-1000,2487.02555762082,-1000,-1000–-900,战国燕,-1030,-223,861.110904584882,1599.92983271375,25.9848203221809,1625.91465303594,3.25796618231834
-900,4626.02555762082,-900,-900–-800,战国燕,-1030,-223,1147.11090458488,3415.92983271375,62.9848203221809,3478.91465303594,1.75153488893763
-800,3857.95889095409,-800,-800–-700,战国燕,-1030,-223,1005.11090458488,2816.46316604704,36.3848203221809,2852.84798636922,2.10024144640022
-700,4515.09222428701,-700,-700–-600,战国燕,-1030,-223,663.110904584883,3815.14649938007,36.8348203221809,3851.98131970225,1.79456913807991
-600,1146.02555762082,-600,-600–-500,战国燕,-1030,-223,318.110904584882,813.679832713759,14.2348203221809,827.91465303594,7.07021331889955
-500,8796.72442590736,-500,-500–-400,战国燕,-1030,-223,1106.38580369024,7513.40633061113,176.932291606012,7690.33862221714,0.921097987044679
-400,18314.0223789901,-400,-400–-300,战国燕,-1030,-223,1870.49214353243,16079.7742072287,363.756028228717,16443.5302354574,0.442428484229954
-300,9071.89092046438,-300,-300–-200,战国燕,-1030,-223,740.992709181679,8169.87497553775,161.023235744096,8330.89821128184,0.893159456206872
-200,7412.23501316147,-200,-200–-100,汉代,-206,220,358.805584954813,6904.23072539258,149.198702814188,7053.42942820677,1.09314466512498
-100,12462.0975693599,-100,-100–0,汉代,-206,220,601.470324839205,11379.5537825544,481.073461966404,11860.6272445208,0.650183094474537
0,7557.17943351556,0,0–100,汉代,-206,220,212.629384037937,7151.51704993915,193.03299953866,7344.55004947781,1.07217848042027
100,15173.2119998487,100,100–200,东汉,25,220,1055.36577875742,13670.4504825576,447.395738533769,14117.8462210914,0.534009882770425
200,11799.5930994913,200,200–300,东汉,25,220,164.233481089895,11337.5521608646,297.807457537488,11635.3596184021,0.686688523321991
300,3457.0905527789,300,300–400,晋,265,420,37.5407881186795,3222.70311238249,196.84665227777,3419.54976466026,2.34377579574157
400,17986.9272347053,400,400–500,北魏,386,534,225.754198097115,17136.1313715209,625.041665087246,17761.1730366082,0.450474116871736
500,16512.7206572973,500,500–600,南朝齐,479,502,242.332549941246,15701.5020706238,568.886036732284,16270.3881073561,0.490691105932885
600,11312.6030398317,600,600–700,隋,581,618,109.451724453692,10450.8838853936,752.267429984433,11203.1513153781,0.716249401906933
700,9791.69966916939,700,700–800,唐,618,907,92.7382282804467,8680.27604072198,1018.68540016694,9698.96144088892,0.827501397617658
800,9755.92864038389,800,800–900,唐,618,907,96.16089465304,8784.6876470867,875.08009864439,9659.76774573109,0.830535509223568
900,7049.29076105167,900,900–1000,唐,618,907,92.787265129241,5995.44361368161,961.059882240778,6956.50349592239,1.1494270042113
1000,13217.3544603133,1000,1000–1100,宋,960,1279,169.269224851078,11859.2129519097,1188.87228355243,13048.0852354621,0.613030783551974
1100,6836.54912870548,1100,1100–1200,宋,960,1279,64.274020800911,5700.11112839565,1072.16397950885,6772.2751079045,1.18519519259628
1200,6850.29662255105,1200,1200–1300,金,1115,1234,71.501488130893,5393.95006255105,1384.84507186896,6778.79513442001,1.18281668776448
1300,9496.7645383157,1300,1300–1400,元,1234,1367,135.29110591378,7848.79636954993,1512.67706285195,9361.47343240188,0.853200595697519
1400,3591.01864576348,1400,1400–1500,明,1368,1644,93.371776553038,3089.95916304403,407.687706166407,3497.64686921043,2.25636399043741
1500,8285.4274849286,1500,1500–1600,明,1368,1644,111.530572074731,7177.83292974096,996.063983112577,8173.89691285353,0.977939300781878
1600,7005.82350485814,1600,1600–1700,明,1368,1644,65.8838213609176,6098.55675411511,841.382929382143,6939.93968349725,1.15655856241187
1700,5121.8146774017,1700,1700–1800,清,1644,1911,18.7836069206116,4090.63283244021,1012.39823804066,5103.03107048087,1.58198718064522
1800,3194.08811929955,1800,1800–1900,清,1644,1911,7.13269918442416,2514.09392803906,672.861492075992,3186.95542011505,2.53676318832021
1900,2028.44946650708,1900,1900–2000,清,1644,1911,11.2830311526545,1545.40081072516,471.765624629253,2017.16643535441,3.99450185724493
